aX,aY,aZ,gX,gY,gZ
0.010,0.490,0.120,3.375,1.125,-2.938
0.000,0.720,-0.040,3.375,1.125,-2.938
-0.160,0.770,-0.190,0.687,5.187,-1.000
-0.330,0.780,-0.320,-1.687,7.062,1.062
-0.330,0.780,-0.320,-1.687,7.062,1.062
-0.440,0.690,-0.390,-3.000,5.187,1.500
-0.410,0.670,-0.330,-4.187,2.875,1.562
-0.410,0.670,-0.330,-4.187,2.875,1.562
-0.570,0.640,-0.450,-2.813,1.187,0.875
-0.440,0.750,-0.330,-0.437,-1.062,0.125
-0.160,0.800,-0.140,0.875,-3.875,0.437
-0.160,0.800,-0.140,1.625,-4.437,0.375
-0.030,0.660,0.170,1.625,-4.437,0.375
-0.080,0.500,0.120,2.688,-1.750,-0.500
-0.080,0.500,0.120,2.688,-1.750,-0.500
-0.140,0.420,0.000,2.063,1.000,-0.062
-0.220,0.450,-0.020,0.687,2.000,0.625
-0.260,0.540,-0.140,0.375,2.688,0.875
-0.260,0.540,-0.140,0.375,2.688,0.875
-0.270,0.750,-0.230,-0.625,3.750,1.625
-0.270,0.750,-0.230,-0.625,3.750,1.625
-0.200,0.820,-0.170,-1.562,4.812,1.250
-0.170,0.850,-0.240,-2.500,5.937,1.437
-0.410,0.830,-0.340,-2.250,5.375,2.750
-0.410,0.830,-0.340,-1.062,3.375,2.938
-0.350,0.870,-0.340,-1.062,3.375,2.938
-0.290,0.860,-0.280,-0.375,0.875,1.937
-0.290,0.860,-0.280,-0.375,0.875,1.937
-0.190,0.430,-0.120,1.062,-2.000,-0.062
-0.190,0.430,-0.120,0.812,-2.375,-0.375
-0.220,0.520,-0.020,0.812,-2.375,-0.375
-0.020,0.540,0.070,1.812,-2.625,0.375
0.010,0.460,0.090,2.563,-2.313,-0.437
0.010,0.460,0.090,2.250,0.312,-1.437
-0.370,0.630,-0.230,2.250,0.312,-1.437
-0.270,0.810,-0.250,1.625,2.625,-0.875
-0.270,0.810,-0.250,1.625,2.625,-0.875
-0.230,0.940,-0.340,0.625,3.938,-0.125
-0.200,0.990,-0.360,0.000,3.500,-0.375
-0.050,0.740,-0.210,0.437,1.625,-1.437
-0.050,0.740,-0.210,0.437,1.625,-1.437
-0.020,0.640,-0.160,0.812,1.187,-2.313
-0.020,0.640,-0.160,0.812,1.187,-2.313
0.050,0.710,-0.110,0.937,0.500,-1.812
